Product,UOM,Year,Quantity
Soybeans,MT,2013,24553555.9
Soybeans,MT,2013,24553555.9
Soybeans,MT,2014,30827882.0
Soybeans,MT,2014,30827882.0
Soybeans,MT,2015,27258629.1
Soybeans,MT,2015,27258629.1
Soybeans,MT,2016,36051022.5
Soybeans,MT,2016,36051022.5
Soybeans,MT,2017,31688893.3
Soybeans,MT,2017,31688893.3
Soybeans,MT,2018,8235317.0
Soybeans,MT,2018,8235317.0
Soybeans,MT,2019,22612164.5
Soybeans,MT,2019,22612164.5
Soybeans,MT,2020,34171192.2
Soybeans,MT,2020,34171192.2
Soybeans,MT,2021,27367379.4
Soybeans,MT,2021,27367379.4
Soybeans,MT,2022,30226936.9
Soybeans,MT,2022,30226936.9
Soybeans,MT,2023,26389890.7
Soybeans,MT,2023,26389890.7
Soybeans,MT,2024,27208172.4
Soybeans,MT,2024,27208172.4
